Infinitiv,Präsens (er/sie/es),Präteritum ,Perfekt,Beispielsatz
abfahren:depart,fährt ab,fuhr ab,ist abgefahren,Der Bus fährt um 09.12 Uhr ab.
abfliegen:lift off,fliegt ab,flog ab,ist abgeflogen,Das Flugzeug ist pünktlich abgeflogen.
abgeben:hand in,gibt ab,gab ab,hat abgegeben,Wir gaben Flaschen und Schirme am Eingang ab.
abhängen:depend on,hängt ab,hing ab,hat abgehangen,"Es hängt von der Situation ab, wie schnell die Zeit vergeht."
abheben :withdraw,hebt ab,hob ab,hat abgehoben,Mit einer Kreditkarte können sie weltweit Geld abheben.
ablesen:read off,liest ab,las ab,hat abgelesen,Sie hat die Stichworte abgelesen.
abnehmen:take away,nimmt ab,nahm ab,hat abgenommen,Wir nehmen Ihnen Ihre Sorgen ab.
abraten:advice against,rät ab,riet ab,hat abgeraten,Freunde haben Ihr abgeraten.
abschließen:close,schließt ab,schloss ab,hat abgeschlossen,Hast du die Tür abgeschlossen?
abziehen:move away,zieht ab,zog ab,ist abgezogen,Er zog mit seiner Beute ab.
